Date,Mkt-RF,SMB,HML,ROE,Liquidity
2015-01,-3.11,-0.56,-3.58,2.813198362,-3.266443483
2015-02,6.13,0.63,-1.86,-4.643925079,5.570988194
2015-03,-1.12,3.04,-0.37,-5.270313147,-0.140282993
2015-04,0.59,-3.06,1.82,6.035182579,1.107899304
2015-05,1.36,0.93,-1.14,-4.559379047,0.673882599
2015-06,-1.53,2.91,-0.79,0.94751588,-1.814047103
2015-07,1.54,-4.17,-4.13,-5.53545897,3.679752473
2015-08,-6.04,0.33,2.77,4.049319997,-5.200795545
2015-09,-3.07,-2.62,0.56,3.017288912,-0.961188235
2015-10,7.75,-1.88,-0.46,-11.04401096,10.08491017
2015-11,0.56,3.6,-0.42,6.95438792,0.768890331
2015-12,-2.17,-2.84,-2.61,-2.660236174,-0.695308555
2016-01,-5.77,-3.42,2.09,6.613852352,-6.220115953
2016-02,-0.07,0.73,-0.57,-2.70368724,-1.571129707
2016-03,6.96,0.82,1.19,-6.124841878,6.310104823
2016-04,0.91,0.76,3.28,4.596335084,-1.040287124
2016-05,1.78,-0.17,-1.66,5.507461306,2.353625499
2016-06,-0.05,0.61,-1.48,4.779852675,-1.790775288
2016-07,3.95,2.49,-1.32,-8.856491858,7.407268519
2016-08,0.49,1.15,3.18,-0.608507529,0.439595618
2016-09,0.25,2.12,-1.24,4.873837389,0.514326594
2016-10,-2.02,-4.4,4.09,0.515482756,-0.663565889
2016-11,4.86,5.71,8.21,-9.480854478,6.156017902
2016-12,1.82,0.1,3.53,-5.930170339,3.530366284
2017-01,1.94,-1.19,-2.75,-8.25605333,2.271307379
2017-02,3.57,-2.05,-1.67,-3.047653055,2.966104721
2017-03,0.17,1.14,-3.35,-6.252272221,-0.690481528
2017-04,1.09,0.73,-2.13,-2.909847921,1.266019122
2017-05,1.06,-2.57,-3.78,-6.429355034,3.245161823
2017-06,0.78,2.25,1.48,-1.206276085,0.121631273
2017-07,1.87,-1.51,-0.31,-5.213411847,1.098554933
2017-08,0.16,-1.67,-2.09,-2.345616684,-0.120144108
2017-09,2.51,4.47,3.14,0.3778382,3.185131806
2017-10,2.25,-1.94,0.2,-4.436655318,3.828740711
2017-11,3.12,-0.55,-0.03,-11.2822156,2.870700537
2017-12,1.06,-1.32,0.06,-1.765161794,2.556513486
2018-01,5.57,-3.13,-1.29,-8.16040653,7.6957367
2018-02,-3.65,0.25,-1.04,-0.083112246,-2.48465163
2018-03,-2.35,4.06,-0.21,0.445749752,-4.50833594
2018-04,0.28,1.13,0.54,0.044398359,-0.538601492
2018-05,2.65,5.25,-3.2,1.763219858,4.370069129
2018-06,0.48,1.14,-2.34,5.175698704,0.568520061
2018-07,3.19,-2.22,0.47,-6.517295318,3.445412681
2018-08,3.44,1.14,-3.94,-9.892679525,5.335280483
2018-09,0.06,-2.27,-1.7,-6.577562209,-1.911124096
2018-10,-7.68,-4.78,3.4,6.597313564,-2.695655684
2018-11,1.69,-0.68,0.3,-6.2820382,2.722139471
2018-12,-9.57,-2.38,-1.84,9.138521029,-9.883440991
2019-01,8.4,2.9,-0.46,-12.73996293,6.915808959
2019-02,3.4,2.05,-2.67,-8.9072804,2.414236757
2019-03,1.1,-3.05,-4.17,1.452226978,0.956021831
2019-04,3.97,-1.74,2.15,-7.740026902,2.912976421
2019-05,-6.94,-1.32,-2.37,2.524374119,-8.867353599
2019-06,6.93,0.29,-0.71,-10.47744455,7.89086596
2019-07,1.19,-1.93,0.48,-2.35769648,2.418640149
2019-08,-2.58,-2.38,-4.78,-0.017652524,-3.831206221
2019-09,1.43,-0.96,6.75,7.24187189,3.861811494
2019-10,2.06,0.29,-1.91,-2.513889302,5.22300801
2019-11,3.87,0.77,-2.02,-9.392817219,2.296125946
2019-12,2.77,0.73,1.75,-5.028961258,4.288201242
2020-01,-0.11,-3.11,-6.25,-0.162637468,4.433710543
2020-02,-8.13,1.07,-3.81,9.741647512,-8.566517699
2020-03,-13.39,-4.83,-13.87,32.91931698,-9.207180365
2020-04,13.65,2.45,-1.33,-23.01107436,16.96688519
2020-05,5.58,2.47,-4.88,2.599051557,2.736910159
2020-06,2.46,2.69,-2.2,-0.921241239,7.119620595
2020-07,5.77,-2.33,-1.41,-10.62551298,10.07999684
2020-08,7.63,-0.22,-2.97,-21.75619666,22.40742787
2020-09,-3.63,0.02,-2.71,6.971992662,-6.854361014
2020-10,-2.1,4.38,4.25,-0.194918524,-3.117046997
2020-11,12.47,5.8,2.09,-33.42603775,18.39045067
2020-12,4.63,4.89,-1.51,-12.34361343,8.648941483
2021-01,-0.03,7.36,3.01,13.11711629,4.877172409
2021-02,2.78,2.05,7.15,-23.25229164,-1.199838998
2021-03,3.08,-2.37,7.39,-1.478558493,2.647381543
2021-04,4.93,-3.19,-0.95,-7.455894444,6.050921002
2021-05,0.29,-0.25,7.09,0.217915814,-2.785018859
2021-06,2.75,1.68,-7.87,-4.810664701,3.92022238
2021-07,1.27,-3.97,-1.78,-12.59625187,1.219797781
2021-08,2.91,-0.42,-0.15,-1.982253506,3.86371765
2021-09,-4.37,0.71,5.08,-4.472163545,-1.052016621
2021-10,6.65,-2.35,-0.49,-6.459892391,15.7528263
2021-11,-1.55,-1.32,-0.45,10.16714884,2.677692019
2021-12,3.1,-1.67,3.26,-9.72278645,-1.161256787
2022-01,-6.25,-5.94,12.75,13.58748302,-5.121631352
2022-02,-2.29,2.19,3.08,1.278060383,-3.332505755
2022-03,3.05,-1.61,-1.81,-2.127719776,8.560023875
2022-04,-9.46,-1.39,6.17,14.81652028,-14.60885649
2022-05,-0.34,-1.83,8.39,-1.871589638,-2.465665527
2022-06,-8.43,2.1,-5.97,22.05822515,-9.105866623
2022-07,9.57,2.81,-4.05,-26.22732194,16.70734942
2022-08,-3.77,1.4,0.29,3.206977694,-4.997215568
2022-09,-9.35,-0.81,0.05,11.39311146,-8.720254025
2022-10,7.83,0.06,8.01,-20.08719943,0.72352094
2022-11,4.6,-3.52,1.38,-8.378902848,-1.754506063
2022-12,-6.41,-0.69,1.37,15.8026408,-14.32240414
2023-01,6.65,5.01,-4.01,-23.09137502,17.20438329
2023-02,-2.58,1.17,-0.81,2.315434442,1.333911315
2023-03,2.51,-5.51,-8.85,-7.367712844,4.570428967
2023-04,0.61,-3.35,-0.04,0.042093485,-3.354853003
2023-05,0.35,1.61,-7.72,2.413977967,9.616388739
2023-06,6.46,1.54,-0.26,-15.70930831,11.7957099
2023-07,3.21,2.08,4.11,-10.8873332,3.4500915
2023-08,-2.39,-3.16,-1.06,3.969872217,-2.15637539
2023-09,-5.24,-2.51,1.52,6.685295902,-4.607578356
2023-10,-3.19,-3.87,0.19,4.413688913,-5.32683826
2023-11,8.84,-0.02,1.64,-16.46682248,11.78934872
2023-12,4.87,6.34,4.93,-11.35125165,4.45301183
2024-01,0.71,-5.09,-2.38,-8.876824436,-4.532809047
2024-02,5.06,-0.24,-3.48,1.203833223,3.654289993
